10,https://www.vivino.com/it-scacciadiavoli-brut-rose-metodo-classico/w/10,29.99,Scacciadiavoli,Brut Rosé Metodo Classico,Sparkling wine,,Umbria,Italy,3.8,363,,,,,"Excellently balanced, a lot of mineralogy. Very crisp, clean and easy to drink. Bone dry, the only fruit note is cranberry really. Overall, great value !","Light pink in color. Nose is tart cranberry, very faint nose. Body is structured with some body. Only has about six hours of skin color. Has flavors of tart cranberry which is more pronounced on the finish. Legend has it this was used my priests to prefer exorcisms.",Not typically a fan of ros sparkling wine. But this is really good ! Fresh red fruit lots of bubbles and good acidity.,https://images.vivino.com/thumbs/a_lq38qvSJ-jYLEgeMhyQw_pb_x300.png
35,https://www.vivino.com/amity-riesling/w/35,22.99,Amity,Riesling,White wine,Oregon Riesling,Willamette Valley,United States,3.6,70,37.5,,25.7286,76.4179,"Lemon and honey color. Lemon curd, chalk, white plum, wet Slate, sage, and light white pepper. Its yummy for the money. It would age well.","Very tasty wine but I liked the other Riesling I had from Oregon. Stone, minerals, pear, peach. One to try to explore the complex realm of Oregon wines! Indeed a great try! 3","Sleeping Beauty wishes that she had this color of hair! This Riesling from Oregon has a beautiful, golden color that I wish I was able to capture with an iPhone. While tasting notes are provided on the back of the label, there is so much more to the wine than simply, Green apple, nectarine, & ginger notes. The ginger was in the form of candied ginger. Green apple I get, but as a slightly cooked one with a little honey on top. I dont get much nectarine, but there is some citrus.",https://images.vivino.com/thumbs/lGlSDqTsQ1yNhVtR_yFVjA_pb_x300.png
90,https://www.vivino.com/anne-amie-vineyards-cuvee-a-pinot-noir/w/90,23.99,Anne Amie Vineyards,Cuvée A Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.8,361,24.9395,26.7224,9.02688,68.9637,Bright cherry with light spice and cedar on the nose. Some earthiness and measured tartness against a smooth finish. Very good quality with or without food,Plum with no rim MEDIUM LEGS MEDIUM+AROMA cherry pie strawberry black tea cinnamon MEDIUM+FLAVOR cherry strawberry cinnamon MEDIUM BODY VERY LONG DURATION,Aromas of strawberries and raspberries. Taste strawberries and some citrus. Tart finish which also may be acidity. Im generally not a fan of Roses but I like this one.,https://images.vivino.com/thumbs/gJSzLn2cRmuItUPy2gLeUQ_pb_x300.png
91,https://www.vivino.com/anne-amie-vineyards-pinot-gris/w/91,22.99,Anne Amie Vineyards,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.9,627,48.1378,,16.75227,43.0013,"Citrus, Apple, and pear on the nose . A little creamy mouthfeel. Light almond finish. Medium acidity. Would pair very well with sea bass, halibut, or charcuterie.","This varietal in this region grows on me more and more with every sip! A juxtaposition of delicate nature and flavorful character make it intriguing and enticing. A bit round, a bit crisp, bursting in floral and stone fruits, yet still refined. A beautiful wine, and a solid QPR.",Fresh and light. Great texture and light acidity.,https://images.vivino.com/thumbs/guFi4hQ6RT2Vw1jUQrw_zg_pb_x300.png
93,https://www.vivino.com/anne-amie-vineyards-pinot-blanc/w/93,17.99,Anne Amie Vineyards,Pinot Blanc,White wine,,Chehalem Mountains,United States,3.8,162,,,,,"Dr. Robert Pamplin, an Oregon businessmen, purchased historic Chateau Benoit Winery in 1999. Aged in French oak for 9 months. Aromas of stone fruits, citrus and sweet spice. Palate shows pear, orange and sweet apple flavors with vanilla and a touch of oak. Lingering finish ending with mineral notes. Nice offering.","Crisp and light, this Pinot blanc has notes of lychee, baked and fresh apples, quince and orange zest. The palate is fresh with a bright acidity and lingering notes of lychee and tropical fruits.",This wine was aged in French oak (10% new) on its lees for nine months before bottling. A floral and stone fruit nose. A soft mouth feel of white peach and pear flavors with hints of vanilla and a long delicious finish that shows some minerality.,https://images.vivino.com/thumbs/cpJ_PWTxQmWo6byaoSDGxQ_pb_x300.png
122,https://www.vivino.com/belle-pente-pinot-gris/w/122,17.99,Belle Pente,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.8,117,51.507,,32.9871,29.8615,"With delayed harvest near end of oct early nov. Fermented 1/3 in barrels at the ripe 14.3% alcohol A dense and powerful nose. Driven by your baked breakfast cereal, white pepper, and butter corn cake. Just enough mineral to make this complicated. Of course there is that ripe golden pear. Despite its 14% alcohol, this is still slightly off dry with so much intensity. But extremely balanced with medium plus acid without any sensation of alcohol. Soft long finish. Great 91 pts.","Citrus, lime, grapefruit, kiwi, pear, passion fruit, and some butter. Medium minus acidity and light body. Smooth clear citrus and aloe. Fresh citrus dominated.","Very light, pale straw. Begins with citrus notes, pear, fennel, melon. The palate echoes the nose and finishes with some heat. Naturally produced, long fermentation in stainless and neutral oak. Extended sur lie aging. It's nicely made with great attention to detail. The wine resembles some Gris I've had from Alsace rather than the typical Oregon style. 89/100 2nd time, consistent notes. 14.3. ABV",https://images.vivino.com/thumbs/WAtas8NyRlizWTl0aHUydw_375x500.jpg
126,https://www.vivino.com/belle-pente-chardonnay/w/126,24.98,Belle Pente,Chardonnay,White wine,Oregon Chardonnay,Willamette Valley,United States,3.8,111,64.6039,,7.5,66.552,"First tried at Mercy and such a great find. Balanced fruit notesapple, orange, lemonadewith a light crispness. Dangerously gulpable all year round.","92pts me And 85 RP....go home Parker your nose is broken 100% barrel fermented whole bunch pressed, 50/50 Oregon and burgundy barrel with 10-15% new and Sur Lee This biodynamic producer is known for pure old world quality Nose of roasted butternut squash with butter, cream, and sage over lemon oil and baked golden Apple Wonderful minerality as well Fulfilling mouthfeel with good density and complexity over balanced and intense flavors on medium plus acid to a long fine finish of baked butter squash",Another TN catchup - this wine was part of my birthday celebration in Seattle and enjoyed with some outstanding seafood at Taylor Shellfish. This buttery Chard was well-balanced with acidity making a great accompaniment to Dungeness crab. Another great example of Oregon Chardonnay that I will be seeking out again.,https://images.vivino.com/thumbs/9NSyxxSAS5qngRN0IF8IUQ_pb_x300.png
127,https://www.vivino.com/belle-pente-willamette-valley-pinot-noir/w/127,29.99,Belle Pente,Willamette Valley Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4,783,28.9645,27.8278,12.56686,75.9822,"Complex nose of raspberries, blackberries and spice. Ripe berries on the palate with smoothness and a touch of minerality. Very enjoyable!","Perfect balance on a Pinot of earth, oak, and fruit. Delicious blend that gets more and more smooth as it breathes. Should be a tad chilled, but excellent!","4.0. Right in my wheelhouse. Ridiculously smooth and bursting with cherry-berry. Beautiful bit of tannins at the end along with a gently decrescendoing finish. Beautiful ruby color, pepper and cherry on the nose. What a value!",https://images.vivino.com/thumbs/n8QotNvQQKuuzQHVYxY0Fw_pb_x300.png
128,https://www.vivino.com/benton-lane-winery-pinot-noir/w/128,21.99,Benton-Lane,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.9,3783,29.048,27.1961,9.89424,72.5674,They have really stepped up their game. I tried this a few years back and didnt like it much. Cant believe this is that same wine. Light with softer tannins great acids and fruit forward.,New plastic beach ball filled with raw meat and cherry liqueur. Super cool. Light palate with a bit of blood orange.,4.2 nice Pinot noir - not a watered down Pinot.,https://images.vivino.com/thumbs/_nzo0LtVRgyYJB0ieeXxEA_pb_x300.png
130,https://www.vivino.com/benton-lane-winery-pinot-gris/w/130,16.94,Benton-Lane,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.8,384,49.8223,,20.5948,43.6032,"Very nice pinot gris, bright, fruity, touch of lemon, higher alcohol 14%. than Italian ones I have been drinking and fuller body.",Crisp wine with notes of lemongrass. Aromas of daisys and poppyseed. Green onion on the finish. Very bright. Moderate acidity and alcohol. Not overly complex.,"Benton Lane Willamette Valley OR PG 2016 4.0   yellowish pale straw  Asian pears  calcified minerality, little grassy,  good Lee high balanced acidity, decent on the palate, med finish  very nice PG from Oregon, enjoyed this unique one, maybe my first one? Not so sure  anyhow a good try!",https://images.vivino.com/thumbs/oYfim5nHQ0SjU5pm1U0cOQ_pb_x300.png
135,https://www.vivino.com/bethel-heights-estate-chardonnay/w/135,18.99,Bethel Heights,Estate Chardonnay,White wine,Oregon Chardonnay,Eola-Amity Hills,United States,3.8,246,59.5874,,7.5,62.3568,Lemon and floral aromas with vibrancy and balance. A great Oregon Chardonnay exemplar. 12.6% with 20% new French oak. Excellent.,"93 points This is a single vineyard, Dijon clone, planted in 1994 and Is BH's flagship Chardonnay. Tasted at the vineyard, this wine was immediately special. The colour is a straw yellow with a slight green hue. The nose while initially muted, opened to display, citrus, fresh baked bread and a hint of spice. Honey suckle, citrus, almond and a hint of vanilla lead to a smooth, delicate, long finish. Since it was our second anniversary we bought a bought a bottle to revisit in on our 10th","Citrus and pear, clean and crisp. Lemon on the finish. Better than average, priced a few dollars high.",https://images.vivino.com/thumbs/7M2REEfAQti0YakRK0jzbQ_pb_x300.png
138,https://www.vivino.com/bethel-heights-pinot-noir/w/138,25.99,Bethel Heights,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.8,399,28.8185,27.1463,7.5551875,76.9827,Pinot noir simple and easy,Fruits. Rond. Good,"Big nose of fruit and must, long legs, sediment on the bowl sides, and light coloration. I get tart cherry and strawberry, underripe fruits, medium minus and very delicate body. Distinctly a Pacific Northwest Pinot Noir, while I might personally prefer more body, this is inarguably a lovely wine! Cheers!",https://images.vivino.com/thumbs/H67ljFd8RpSnu1M9EUtjvQ_pb_x300.png
195,https://www.vivino.com/us-emerson-pinot-noir/w/195,19.99,Emerson,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.7,248,26.151,25.9023,11.1929,74.83,Quality Pinot with strong minearality that gives way to light acidic fruit and a soft finish. Really enjoyed this.,"Soft fruit forward with some spice. Light bodied, ruby color","Easy to drink,",https://images.vivino.com/thumbs/-kz3sIciTEuGDope5lmf9w_pb_x300.png
198,https://www.vivino.com/erath-pinot-gris/w/198,14.95,Erath,Pinot Gris,White wine,Oregon Pinot Gris,Oregon,United States,3.6,1964,49.5359,,17.04833,41.4511,It's a great Pinot for the price,Wine on tap? A welcome sight at a sports bar with way too many screens and not enough bartenders. This is what the beer geeks would call a porch pounder. Lovely floral notes and a watery mouthfeel. Will drink again for sure.,Round and oaky buttery mouth feel. Light citrus fruits. Lovely ultra pale color. Perfect with bbq on the patio!,https://images.vivino.com/thumbs/Z3Cia8FmS1mDSWcSD4S65w_pb_x300.png
204,https://www.vivino.com/hamacher-wines-pinot-noir/w/204,61.99,Hamacher,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4.1,380,26.9216,25.6694,11.46217,73.9482,"I'm not a connoisseur of this variety and even less from Oregon but this 2007 Pinot Noir turned out to be a fresh and lively wine. Frank. Not complex but delivery a one directional clear message. Aromas of fresh strawberries, licorice and dark pepper. Limpid. Undeforest. With time, some coal-like mineral notes appeared. In mouth, same story told from nose, frank, horizontal. Good balance.","Beautiful, earthy, smoky bouquet! To die for! Smooth, deep, luscious. Marionberry, campfire, raspberry. Delightful! I want to find this again!","Good fragrant nose. Nice balance on the palate. Bright berries, vanilla and cigar box with brisk tannins. Could use a few more years in the cellars. A nice wine with Easter ham.",https://images.vivino.com/thumbs/73squa3kS3qAZU1N-rHT0w_pb_x300.png
255,https://www.vivino.com/montinore-estate-pinot-gris/w/255,13.99,Montinore Estate,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.7,996,49.6341,,19.3684,42.28,Wonderful! Reminds me of a beautiful German Riesling. Medium sweet. Very floral up front. I get honey and apricot. Beautiful acidity to balance it out,Hello you sweet thang.,"Fresh, crisp, fruity. The apple and green fruits are awesome in this PG.",https://images.vivino.com/thumbs/4gT_f2KrQgWE7RVTdptohw_pb_x300.png
271,https://www.vivino.com/panther-creek-cellars-winemaker-s-cuvee-pinot-noir/w/271,33.99,Panther Creek,Winemaker's Cuvée Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,3.8,1203,30.1075,28.9731,10.47557,72.9544,"Had this at an upscale burger joint and not sure of the year. Went very well with Turkey burger and spicy green chili fries. Very traditional Willamette PN. Medium garnet color throughout with decent aggressive thin legs. Nose of red currant, iceberg lettuce and cinnamon. Opening of red fruit favoring plum with cinnamon, caramel dry earth and ash. Medium bodied and medium acidity with youthful firm dry tannins that emerge and fade quickly.",A Oregon Pinot I can get behind. Super well rounded.,Lovely. Leas bar,https://images.vivino.com/thumbs/9fqLeUPYTFOgam7F9PyEYw_pb_x300.png
287,https://www.vivino.com/ponzi-vineyards-pinot-noir/w/287,26.99,Ponzi,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4,2619,29.9758,27.5322,12.24978,73.8529,"3.75, but I'll be nice. Great nose and body but falls off a cliff on the finish",Smooth. Red fruit profile with some earthy notes.,"Strawberry, truffle, cedar... has the perfect funk of an Oregon Pinot.",https://images.vivino.com/thumbs/2WTgyjH-RIux4O1ts_ATqQ_pb_x300.png
288,https://www.vivino.com/ponzi-vineyards-pinot-gris/w/288,17.99,Ponzi,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.7,1868,49.6808,,19.4462,41.3732,Really good and I generally dont like Pinot Gris. On the drier side for Gris. Paired great with chicken kebobs,citrus pear melon lemon minerals pineapple honeysuckle white pepper,Clean great wine with birds,https://images.vivino.com/thumbs/85v3iuJISpm6R_jjZHwfyg_pb_x300.png
296,https://www.vivino.com/rex-hill-vineyards-pinot-noir/w/296,37.99,Rex Hill,Pinot Noir,Red wine,Oregon Pinot Noir,Willamette Valley,United States,4.1,3239,32.7758,28.508,11.89724,74.4713,"Usually in my opinion the American wines are exaggerated versions of the old world, there are of course exceptions and this is one. Yes you can tell it is a powerful Pinot noir and clearly there has been a lot of sun on these grapes. The grapes are ripe and giving the wine a lot of flavour and depth. Rex hill has kept the lively fragile notes of red berries and a hint of underlying earth and weather.",Pretty damn delicious Pinot. Fruit from all 6 Willamette AVAs,"Moderate red color. Cherry, vanilla, oak. Medium plus acidity and medium-soft tannins that were very finely balanced. ABV seemed on the medium plus end. Pretty finely balanced medium length finish. Slightly on the acidic side but sweet and delicious. Included this in a blind tasting and mistook this for a red burgundy... A testament to Rex Hill and Willamette valley in my book!!",https://images.vivino.com/thumbs/Z46lFgwQSSeVnPlAmFtbVQ_pb_x300.png
315,https://www.vivino.com/the-four-graces-pinot-blanc/w/315,19.99,The Four Graces,Pinot Blanc,White wine,,Willamette Valley,United States,3.8,806,,,,,A good quality New World example of this varietal with some intensity to the fruit but not overdone.,Pineapple and citrus on the nose. Loads of minerals in the mouth and a soft light finish. A solid little winery out of Willamette Valley.,This pinot is on the heavy side from Oregon. Closer to California style in my opinion. Very ripe on the palate. 90 pts 12/02/2028,https://images.vivino.com/thumbs/sLzhxdvmRmGo8CWCbIklMg_pb_x300.png
320,https://www.vivino.com/torii-mor-winery-pinot-blanc/w/320,22.99,Torii Mor,Pinot Blanc,White wine,,Yamhill-Carlton District,United States,3.7,88,,,,,"Earthy flavors with great minerality. Honeysuckle, wildflowers, and grapefruit cleanse the palate for a nice , juicy acidity afterwards.",Clear color. Grass and cat pee smell. But dont let that turn you off. This is a move apricot to citrus wine. Not too dry and easily enjoyed.,"Very drinkable, not too sweet. A nice summer wine.",https://images.vivino.com/thumbs/CWrWV4g6QBSupg3lV-31mw_pb_x300.png
342,https://www.vivino.com/willamette-valley-vineyards-estate-chardonnay/w/342,33.99,Willamette Valley Vineyards,Estate Chardonnay,White wine,Oregon Chardonnay,Willamette Valley,United States,3.9,162,62.3368,,7.5,62.9881,Lemon yellow and crystal clear. Oak 30%. Not overpowering. Brie Cheese and yeast aromas. Mushroom. Truffle. 3.75 star. Bigger bodied.,"Another year in the Cellar and this Chardonnay came alive! It became buttery and dry, with a hint of French Oak. This is ready to drink now through 2020.","I love new world wines , and I'm a bing enthusiast about American whites. This is simply amazing and should be tasted with care otherwise you fall in love.",https://images.vivino.com/thumbs/EvLeq1ieSGu-mQRHV7lutQ_pb_x300.png
344,https://www.vivino.com/willamette-valley-vineyards-riesling/w/344,14.98,Willamette Valley Vineyards,Riesling,White wine,Oregon Riesling,Willamette Valley,United States,4,1850,37.6647,,38.0665,75.4105,"Has a very gentle taste. There are hints of citrus and a few other fruits, but nothing is overpowering. Fairly balanced. A slight citrus bite as an aftertaste","Citrusy and tropical notes. Juicy peach, pineapple, and honeysuckle. Pair with spicy ",This was a fabulous licht riesling for a sweet riesling it was not overwhelmingly sweet at all.,https://images.vivino.com/thumbs/3UUkCAaOReyUSlAWWBOxuw_pb_x300.png
423,https://www.vivino.com/solena-cellars-pinot-gris/w/423,15.99,Soléna Estate,Pinot Gris,White wine,Oregon Pinot Gris,Willamette Valley,United States,3.8,466,50.5346,,24.3861,41.4765,Green apples and tropical fruits appear on the nose. Lime and a hint of mango appear on the pallate with a medium to long finish,"I really liked this one. Medium bodied, minerals, crisp apple, pear, flashes of citrus with a spicy long finish. Nose has honeysuckle and pear. Just a lovely wine.",More acidic on the nose than on the palate. Grassy. Straw. Hints of peach late. Pale in color. Citrusy lemon sensibility overall but no sharp edge of lemon across the palate or through the finish.,https://images.vivino.com/thumbs/MwHkIaKKRmqzs_1wcVVZBw_pb_x300.png
450,https://www.vivino.com/alexander-valley-cyrus/w/450,52.99,Alexander Valley Vineyards,Cyrus,Red wine,Californian Bordeaux Blend,Alexander Valley,United States,4.3,2053,92.5,73.9115,14.67477,72.4021,Great California interpretation of a full Bordeaux blend... all five varietals.,Fruity fruity but tastes delicious. Why havent I heard of this? Must try.,"Had a single glass with a nice charcuterie plate. Lots of sediment in my glass which is not bad, but I expected more from this wine.",https://images.vivino.com/thumbs/LvwhbrmASDKUFOy_Usi1AA_pb_x300.png
451,https://www.vivino.com/alexander-valley-estate-cabernet-sauvignon/w/451,19.99,Alexander Valley Vineyards,Estate Cabernet Sauvignon,Red wine,Californian Cabernet Sauvignon,Alexander Valley,United States,3.9,12201,92.5,63.2844,12.12257,52.3613,"9/13/14. 89/100. Nice oakey character, good rounded mouthfeel from other varietals influence. Fruit is muted but of dark fruits.","Quite somethinga restful, hovering quality, with dry and smashed fruit and dark blue soil. Nice. Not out of this world. Very much in this world. Good wine.","Blackberry, Dark plum a bit of leather and tobacco. Medium tannins. Good balance. A sleeper that more people will discover. Good value!",https://images.vivino.com/thumbs/I4dVE9cbRD2C_kVb0GMeYA_pb_x300.png
452,https://www.vivino.com/alexander-valley-estate-merlot/w/452,15.94,Alexander Valley Vineyards,Estate Merlot,Red wine,Californian Merlot,Alexander Valley,United States,3.7,2481,74.2956,29.8071,21.0926,19.3082,Decent California merlot enjoyed at a wedding yesterday. Moderate body and tannins.,"Very enjoyable fruit forward with notes of raspberry, chocolate and wood. Smooth and a bit chewy. Easy to drink on its own or with food.",Awesome Merlot for the price. Not too dry. Medium plus bodied. Nice dark fruit tastes.,https://images.vivino.com/thumbs/LdK30oqAQhurhsqCfkUYPA_pb_x300.png
453,https://www.vivino.com/alexander-valley-estate-pinot-noir/w/453,25.99,Alexander Valley Vineyards,Estate Pinot Noir,Red wine,Californian Pinot Noir,Alexander Valley,United States,3.8,722,47.4255,28.4313,11.07737,59.3884,Solid Pinot for the price point. I liked it better than she did.,"Tremendous value, as always from this producer. Not as delicate as some but packed with flavor and mouth watering acidity. Enjoy!","Earthy, oak and maybe a little smoke. Nose is very light, and the taste is smooth and cool. A nice light finish that lingers just enough!",https://images.vivino.com/thumbs/uiJMJU-ATLChgHY3V6Kd2A_pb_x300.png
